fix_name,latitude,longitude,type
02FD,30.95234722,-86.63541666,AIRPORT
02FL,28.04583611,-82.10263888,AIRPORT
02G,40.67330555,-80.64141666,AIRPORT
02GA,34.20260805,-83.42904888,AIRPORT
02GE,34.17527777,-84.92444444,AIRPORT
02HI,21.35841388,-157.94793888,AIRPORT
02IA,42.05628333,-93.876475,AIRPORT
02ID,44.55545944,-115.30510666,AIRPORT
02II,40.06226,-86.2105475,AIRPORT
02IN,40.20888888,-85.54083333,AIRPORT
02IS,42.27463888,-87.95727777,AIRPORT
02KS,39.22221888,-96.05527055,AIRPORT
02KT,38.18144166,-83.44331944,AIRPORT
02KY,38.19444444,-84.91111111,AIRPORT
02LA,32.53148333,-93.65991666,AIRPORT
02LS,30.14827777,-91.91971388,AIRPORT
02MA,41.419575,-70.92692222,AIRPORT
02MD,38.67254444,-76.70973888,AIRPORT
02ME,43.5373,-70.92936666,AIRPORT
02MI,43.15700277,-85.14892777,AIRPORT
02MO,39.04626111,-91.02821944,AIRPORT
02MS,34.10010694,-90.84677138,AIRPORT
02MT,47.98042777,-104.70893611,AIRPORT
02NH,44.65713888,-71.21905555,AIRPORT
02NJ,40.67462222,-74.27818611,AIRPORT
02NM,32.09071,-108.870735,AIRPORT
02NR,35.59201111,-77.37743888,AIRPORT
02NV,41.30055555,-118.92833333,AIRPORT
02NY,43.13213055,-75.655225,AIRPORT
02OK,36.61888888,-97.535,AIRPORT
02OL,34.81141388,-95.30771111,AIRPORT
02PN,40.05901944,-75.46138888,AIRPORT
02PR,18.45333333,-66.36694444,AIRPORT
02RI,41.457931,-71.304886,AIRPORT
02SC,32.75850194,-81.22482472,AIRPORT
02T,45.77002777,-112.98047222,AIRPORT
02TN,35.78055555,-86.58416666,AIRPORT
02TS,28.66264166,-98.72309444,AIRPORT
02TX,31.61272222,-94.64758333,AIRPORT
02UT,41.3663125,-113.84306361,AIRPORT
02WA,47.15232388,-122.09400277,AIRPORT
02WI,45.03191111,-92.65575638,AIRPORT
02WN,48.74583333,-119.31861111,AIRPORT
02XA,33.59131944,-95.88286388,AIRPORT
02XS,30.14771305,-97.66277916,AIRPORT
03AK,60.72722222,-151.13277777,AIRPORT
03AL,34.66259722,-86.04676666,AIRPORT
03AN,61.43444444,-148.76572222,AIRPORT
03AR,34.358,-92.78606388,AIRPORT
03AZ,31.4334325,-110.08396583,AIRPORT
03B,37.12677777,-92.62161111,AIRPORT
03CA,32.77945277,-117.00694166,AIRPORT
03CO,38.09791816,-106.08975536,AIRPORT
03D,40.44725,-92.22694444,AIRPORT
03FA,27.3530975,-81.40812861,AIRPORT
03FL,26.7054775,-82.05236916,AIRPORT
03G,42.02061388,-80.07071944,AIRPORT
03GA,32.56230555,-81.85769444,AIRPORT
03GE,34.45961666,-83.97121944,AIRPORT
03IA,41.14141111,-95.19438055,AIRPORT
03ID,44.79432944,-116.53264638,AIRPORT
03II,37.96198694,-87.77891166,AIRPORT
03IL,41.40225527,-87.81671333,AIRPORT
03IS,38.90766666,-90.17445555,AIRPORT
03KY,37.795904,-87.53879,AIRPORT
03LA,30.19964083,-91.12788166,AIRPORT
03LS,32.15903888,-91.70804166,AIRPORT
03M,44.31522222,-69.88705555,AIRPORT
03MA,42.39314472,-72.55203222,AIRPORT
03MD,39.51844722,-76.34597222,AIRPORT
03ME,44.08423722,-70.62728277,AIRPORT
03MI,43.55885833,-83.86225555,AIRPORT
03MN,43.62523833,-95.22472222,AIRPORT
03MO,39.28883055,-93.99242222,AIRPORT
03MT,45.80905719,-108.56998305,AIRPORT
03MU,38.49194444,-94.41235555,AIRPORT
03N,11.23333333,169.85,AIRPORT
03NC,34.10433833,-77.90416666,AIRPORT
03ND,48.62638277,-97.82898333,AIRPORT
03NH,42.81611388,-71.62416666,AIRPORT
03NJ,40.90350555,-74.16547222,AIRPORT
03NM,36.86238333,-104.44288333,AIRPORT
03NR,35.63027,-78.50392,AIRPORT
03NV,40.58444444,-115.29777777,AIRPORT
03NY,40.95843166,-72.716765,AIRPORT
03OH,41.41838527,-83.01741611,AIRPORT
03OI,41.42030833,-81.59954444,AIRPORT
03OK,36.04119722,-96.16138888,AIRPORT
03OL,35.01233388,-97.702735,AIRPORT
03OR,45.85542194,-117.48434416,AIRPORT
03PN,41.06686111,-76.18080555,AIRPORT
03PR,39.06594722,-94.92170277,AIRPORT
03S,45.40161111,-122.22869444,AIRPORT
03SC,33.86655277,-78.66423055,AIRPORT
03TA,31.99675,-102.10094444,AIRPORT
03TE,27.49114444,-98.66946138,AIRPORT
03TN,35.922975,-83.57933333,AIRPORT
03TS,31.46580277,-100.43396666,AIRPORT
03TT,29.63211666,-95.93248055,AIRPORT
03TX,29.58089722,-95.30635555,AIRPORT
03UT,37.12083444,-109.98595722,AIRPORT
03VA,38.21661666,-77.49555,AIRPORT
